Group.1,retail_and_recreation,value
2020-W07,-2,7
2020-W08,0.25,4.25
2020-W09,-2.70175438596491,56.7719298245614
2020-W10,-0.480392156862745,193.774509803922
2020-W11,-21.5151515151515,524.636363636364
2020-W12,-59.2797619047619,1201.52976190476
2020-W13,-64.8288770053476,2248.29411764706
2020-W14,-64.7109004739336,2892.77251184834
2020-W15,-61.6724137931034,2895.86206896552
2020-W16,-62.5601659751037,2725.49377593361
2020-W17,-56.6326530612245,2408.02857142857
2020-W18,-55.6465863453815,2026.43373493976
2020-W19,-44.6150793650794,1692.78571428571
2020-W20,-37.5675675675676,1345.05019305019
2020-W21,-29.6477272727273,1095.61363636364
2020-W22,-23.9128787878788,906.939393939394
2020-W23,-19.6174242424242,752.022727272727
2020-W24,-13.4389312977099,620.015267175572
2020-W25,-9.9765625,547.26953125
2020-W26,-9.12698412698413,475.805555555556
2020-W27,-4.90836653386454,420.824701195219
2020-W28,-2.92941176470588,369.862745098039
2020-W29,-1.36862745098039,345.423529411765
2020-W30,-1.16666666666667,321.236434108527
2020-W31,-1.76953125,311.44921875
2020-W32,-1.03875968992248,311.093023255814
2020-W33,-2.11764705882353,313.219607843137
2020-W34,-2.93076923076923,352.103846153846
2020-W35,-3.18421052631579,432.323308270677
2020-W36,-3.23308270676692,476.778195488722
2020-W37,-3.59398496240602,539.187969924812
2020-W38,-5.20676691729323,625.375939849624
2020-W39,-10.7735849056604,713.471698113208
2020-W40,-11.9398496240601,814.402255639098
2020-W41,-13.4756554307116,980.292134831461
2020-W42,-16.9777777777778,1297.8
2020-W43,-22.6383763837638,1885.31734317343
2020-W44,-28.4798534798535,2730.23076923077
2020-W45,-32.0634328358209,3633.02611940298
2020-W46,-34.0777777777778,4170.86666666667
2020-W47,-35.8481481481481,4328.37037037037
2020-W48,-33.9219330855019,4176.02973977695
2020-W49,-32.0109090909091,3871.11636363636
2020-W50,-29.2798507462687,3633.68656716418
2020-W51,-27.4604316546763,3549.47122302158
2020-W52,-42.5128205128205,3404.92673992674
2020-W53,-48.3613138686131,3377.83211678832
2021-W01,-45.9264705882353,3282.73529411765
2021-W02,-46.4388489208633,3487.24820143885
2021-W03,-47.1131386861314,3550.26642335766
2021-W04,-46.431654676259,3556.68345323741
2021-W05,-44.4855072463768,3484.26449275362
2021-W06,-41.7032967032967,3284.04395604396
2021-W07,-39.6909090909091,3034.30545454545
2021-W08,-36.3345454545455,2839.39636363636
2021-W09,-35.4476534296029,3113.57761732852
2021-W10,-38.258064516129,3319.71326164875
2021-W11,-38.2166064981949,3597.94584837545
2021-W12,-36.9568345323741,3934.53597122302
2021-W13,-36.4927536231884,4172.43115942029
2021-W14,-39.2093862815885,4302.15523465704
2021-W15,-32.2795698924731,4082.24014336918
2021-W16,-26.3790613718412,3800.47292418773
2021-W17,-25.9964028776978,3393.41007194245
2021-W18,-19.1330935251799,2944.12949640288
2021-W19,-14.593625498008,2503.07171314741
